institution,state,region,ownership,hbcu,predominetly_black_institution,admission_rate,sat_verbal_first_quartile,sat_verbal_median,sat_verbal_third_quartile,sat_math_first_quartile,sat_math_median,sat_math_third_quartile,online_only,n_students,n_students_white,n_students_black,n_students_hispanic,n_students_asian,n_students_native,share_low_income,avg_cost_attendance,tuition_in_state,tuition_out_of_state,completion_rate,completion_rate_white,completion_rate_black,completion_rate_hispanic,completion_rate_asian,completion_rate_native,load_default_rate_2yr,load_default_rate_3yr,mean_earnings_10yr_after,median_earnings_10yr_after
Bank Street College of Education,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.006,0,PS,NA
Bard College,NY,2,Private nonprofit,0,0,0.4608,NA,NA,NA,NA,NA,NA,In-person,2174,0.4747,0.121,0.1256,0.0308,9e-4,0.2910798122,78900,60622,60622,0.716,0.7411,0.7105,0.7255,0.7308,0,0.032,0,43700,46543
Barnard College,NY,2,Private nonprofit,0,0,0.0879,720,740,770,720,748,780,In-person,3126,0.3685,0.0576,0.1452,0.1993,6e-4,0.244,79717,62525,62525,0.9155,0.8963,0.9259,0.9367,0.9512,1,0.02,0,69700,80516
Berkeley College-New York,NY,2,Private for-profit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,1514,0.0304,0.1513,0.2688,0.0218,0.0026,0.6929363689,37469,28600,28600,0.3528,0.48,0.2813,0.3274,0.625,0.3333,0.092,0,44600,45884
Beth Hamedrash Shaarei Yosher Institute,NY,2,Private nonprofit,0,0,0.8621,NA,NA,NA,NA,NA,NA,In-person,74,1,0,0,0,0,PS,16800,12000,12000,0.0909,0.0909,NA,NA,NA,NA,NA,NA,PS,NA
Phillips School of Nursing at Mount Sinai Beth Israel,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,329,0.4225,0.2097,0.1581,0.1459,0,0.4234234234,NA,NA,NA,1,1,NA,NA,NA,NA,0.016,0,85600,96980
Boricua College,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,391,0.0077,0.202,0.7545,0.0026,0,0.7927807487,23431,12025,12025,0.8864,NA,0.8519,0.9175,NA,NA,0.131,0,35000,35348
Brooklyn Law School,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01,0,140900,NA
Bryant & Stratton College-Syracuse North,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,455,0.4527,0.3121,0.1033,0.0462,0.0198,0.7551716629,22850,17275,17275,0.3419,0.4364,0.2759,0.1818,0.375,0,0.176,0,26600,32568
Bryant & Stratton College-Buffalo,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,602,0.3306,0.4834,0.0797,0.0249,0.0133,0.7551716629,22713,18435,18435,0.3111,0.3684,0.25,0.1667,1,0,0.176,0,26600,32568
Bryant & Stratton College-Greece,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,326,0.3528,0.4356,0.1104,0.0276,0.0061,0.7551716629,23193,18047,18047,0.2128,0.3158,0.15,0.25,NA,NA,0.176,0,26600,32568
Canisius College,NY,2,Private nonprofit,0,0,0.7773,520,570,660,530,580,660,In-person,1750,0.6823,0.1086,0.0623,0.0337,0.0023,0.2569631626,40718,31800,31800,0.6616,0.7026,0.4464,0.6047,0.5882,0.3333,0.039,0,51100,60681
Cazenovia College,NY,2,Private nonprofit,0,0,0.751,NA,547,NA,NA,520,NA,In-person,633,0.6667,0.1216,0.0758,0.0079,0.0047,0.3479052823,53059,36668,36668,0.5528,0.5985,0.381,0.5294,0.5,0.6667,0.042,0,38800,49555
Central Yeshiva Tomchei Tmimim Lubavitz,NY,2,Private nonprofit,0,0,0.916,NA,NA,NA,NA,NA,NA,In-person,679,0.8616,0,0,0,0,0.3731343284,24604,8400,8400,0.1071,0.1111,NA,NA,NA,NA,0,NA,37100,35023
Clarkson University,NY,2,Private nonprofit,0,0,0.7842,580,630,680,610,650,690,In-person,2587,0.8002,0.0325,0.0649,0.0302,0.0031,0.1567919075,73867,56258,56258,0.7252,0.7686,0.4167,0.5818,0.6563,0,0.02,0,74200,89696
Colgate Rochester Crozer Divinity School,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.058,0.076,NA,NA
Colgate University,NY,2,Private nonprofit,0,0,0.1243,700,705,750,710,720,780,In-person,3124,0.6428,0.0467,0.0931,0.0573,0.001,0.1884700665,80160,64290,64290,0.9125,0.9157,0.8857,0.931,0.9,NA,0.015,0,81100,85139
Metropolitan College of New York,NY,2,Private nonprofit,0,1,0.6549,NA,NA,NA,NA,NA,NA,In-person,372,0.0457,0.5833,0.2984,0.0134,0,0.7314285714,33506,20188,20188,0.36,1,0.3902,0.4211,NA,NA,0.068,0,40100,46236
Columbia University in the City of New York,NY,2,Private nonprofit,0,0,0.0395,730,745,780,760,775,800,In-person,8902,0.3162,0.0745,0.1541,0.1843,0.003,0.4781818182,82617,66139,66139,0.9525,0.9486,0.9386,0.9275,0.9763,0.8571,0.019,0,115600,102491
The Cooper Union for the Advancement of Science and Art,NY,2,Private nonprofit,0,0,0.2247,670,NA,740,720,NA,790,In-person,892,0.2848,0.0504,0.1244,0.3083,0,0.3821989529,64318,46820,46820,0.8349,0.8594,0.8571,0.8519,0.8478,NA,0.024,0,68600,83847
Cornell University,NY,2,Private nonprofit,0,0,0.0747,710,730,770,760,775,800,In-person,15676,0.3283,0.0734,0.1474,0.2341,0.0026,0.2418020227,80278,63200,63200,0.9529,0.9685,0.9013,0.9266,0.9768,0.7143,0.012,0,101200,104043
Weill Medical College of Cornell University,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,0.2418020227,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0,101200,104043
Culinary Institute of America,NY,2,Private nonprofit,0,0,0.9486,500,NA,630,480,NA,610,In-person,3005,0.4609,0.0709,0.1943,0.0839,0.0043,0.3467898833,52817,36620,36620,0.707,0.7416,0.6098,0.6049,0.7407,0.25,0.035,0,46300,47475
CUNY Bernard M Baruch College,NY,2,Public,0,0,0.4953,NA,NA,NA,NA,NA,NA,In-person,15554,0.178,0.0923,0.2675,0.36,0.0017,0.6665468918,13540,7464,15414,0.7357,0.6888,0.5619,0.736,0.8116,1,0.045,0,63600,75971
CUNY Brooklyn College,NY,2,Public,0,0,0.5454,NA,NA,NA,NA,NA,NA,In-person,10785,0.2503,0.1931,0.2382,0.2507,0.001,0.6846564167,13586,7440,15390,0.5492,0.5845,0.5302,0.4987,0.5888,1,0.063,0,48800,60752
College of Staten Island CUNY,NY,2,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,8987,0.4099,0.1394,0.264,0.1279,0.0014,0.5903016418,14292,7490,15440,0.3473,0.4537,0.2155,0.3198,0.4253,0.2222,0.094,0,47500,53501
CUNY City College,NY,2,Public,0,0,0.666,NA,NA,NA,NA,NA,NA,In-person,11481,0.12,0.1533,0.39,0.2553,0.0017,0.6793091168,13514,7340,15290,0.585,0.5424,0.6533,0.5453,0.6164,0.6667,0.067,0,50900,66039
CUNY Graduate School and University Center,NY,2,Public,0,0,0.2381,NA,NA,NA,NA,NA,NA,In-person,2666,0.2119,0.2877,0.3098,0.132,0.0023,0.5579710145,NA,7410,15360,NA,NA,NA,NA,NA,NA,0.048,0,61600,65991
CUNY Hunter College,NY,2,Public,0,0,0.4786,NA,NA,NA,NA,NA,NA,In-person,16549,0.1869,0.1082,0.3121,0.3061,0.0023,0.6299444263,13345,7382,15332,0.5636,0.5881,0.4678,0.5283,0.5934,0.6667,0.039,0,51800,63163
CUNY John Jay College of Criminal Justice,NY,2,Public,0,0,0.5066,NA,NA,NA,NA,NA,NA,In-person,11726,0.1409,0.1623,0.5019,0.1255,0.0038,0.6620570441,13746,7470,15420,0.5362,0.5305,0.5248,0.5331,0.5879,0.6,0.074,0,50000,56195
CUNY Lehman College,NY,2,Public,0,0,0.5531,NA,NA,NA,NA,NA,NA,In-person,10485,0.0453,0.257,0.5779,0.0711,0.0021,0.7047881502,13565,7410,15360,0.5372,0.5122,0.5512,0.5223,0.5833,0.25,0.075,0,47500,58013
CUNY Medgar Evers College,NY,2,Public,0,1,0.8765,NA,NA,NA,NA,NA,NA,In-person,3239,0.0182,0.7237,0.1689,0.0321,0.004,0.6719932717,14890,7352,15302,0.2398,0.1111,0.2462,0.1923,0.4,0.2,0.118,0,39400,46498
CUNY New York City College of Technology,NY,2,Public,0,0,0.818,NA,NA,NA,NA,NA,NA,In-person,12312,0.0941,0.2595,0.3582,0.2196,0.0041,0.687244284,13725,7320,15270,0.2133,0.2521,0.1816,0.1878,0.274,0.1538,0.112,0,44700,49365
CUNY Queens College,NY,2,Public,0,0,0.6948,NA,NA,NA,NA,NA,NA,In-person,13513,0.1951,0.0959,0.2963,0.3152,0.0047,0.6583987441,13733,7538,15488,0.563,0.6376,0.5072,0.4763,0.5752,0.375,0.054,0,52900,62763
CUNY School of Law,NY,2,Public,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.028,0,85900,NA
CUNY York College,NY,2,Public,0,0,0.5914,NA,NA,NA,NA,NA,NA,In-person,4822,0.0506,0.3735,0.2621,0.2202,0.0151,0.6685510265,13749,7358,15308,0.3333,0.4211,0.3156,0.3188,0.3193,0.875,0.083,0,45300,56945
D'Youville  University,NY,2,Private nonprofit,0,0,0.8404,495,553,615,530,575,650,In-person,1372,0.5605,0.1545,0.0561,0.0794,0.0044,0.3657407407,43808,31170,31170,0.6569,0.6935,0.5625,0.625,0.7778,1,0.06,0,51700,66942
Daemen University,NY,2,Private nonprofit,0,0,0.7994,NA,NA,NA,NA,NA,NA,In-person,1682,0.7634,0.0993,0.0529,0.0422,0.0042,0.3278688525,42126,32760,32760,0.54990000000000006,0.6306,0.2727,0.3333,0.6429,NA,0.052,0,48200,61808
Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary,NY,2,Private nonprofit,0,0,0.6667,NA,NA,NA,NA,NA,NA,In-person,51,1,0,0,0,0,PS,22750,14500,14500,0.3333,0.3333,NA,NA,NA,NA,NA,NA,NA,NA
Dominican University New York,NY,2,Private nonprofit,0,0,0.8897,470,532,608,483,527,570,In-person,1079,0.2641,0.1446,0.4013,0.0575,0,0.3580786026,44338,32120,32120,0.5336,0.7349,0.3061,0.4762,0.5,NA,0.068,0,52500,61171
Elmira College,NY,2,Private nonprofit,0,0,0.9595,553,NA,630,565,NA,642,In-person,603,0.728,0.0431,0.0614,0.0216,0.0083,0.219123506,49138,37004,37004,0.5561,0.6403,0.3636,0.4444,0.3333,0,0.05,0,48500,57550
Fashion Institute of Technology,NY,2,Public,0,0,0.528,NA,NA,NA,NA,NA,NA,In-person,7635,0.3895,0.0881,0.2234,0.1287,9e-4,0.3587081892,29186,6170,16750,0.8325,0.8499,0.7921,0.7727,0.874,0,0.055,0,53900,62696
Five Towns College,NY,2,Private for-profit,0,0,0.5829,NA,NA,NA,NA,NA,NA,In-person,472,0.4153,0.1716,0.3051,0.0106,0.0021,0.3907103825,36554,26245,26245,0.4015,0.4531,0.3171,0.4667,0.375,0,0.126,0,40100,35887
Fordham University,NY,2,Private nonprofit,0,0,0.5413,660,690,730,660,700,750,In-person,9843,0.5032,0.053900000000000003,0.184,0.1333,4e-4,0.226446281,74795,58467,58467,0.8342,0.8508,0.7429,0.8188,0.859,1,0.034,0,67000,85569
Hamilton College,NY,2,Private nonprofit,0,0,0.1178,700,730,760,720,745,780,In-person,2071,0.6451,0.0314,0.0951,0.0903,5e-4,0.1981776765,77000,62670,62670,0.9237,0.9267,0.8824,0.925,0.8974,NA,0.033,0,74300,78411
Hartwick College,NY,2,Private nonprofit,0,0,0.5972,520,565,620,500,545,590,In-person,1085,0.5825,0.1447,0.0986,0.0221,0.0028,0.2544,64262,51309,51309,0.5274,0.5605,0.4324,0.5,0.5714,0.625,0.035,0,49500,61107
Helene Fuld College of Nursing,NY,2,Private nonprofit,0,0,0.12,NA,NA,NA,NA,NA,NA,In-person,544,0.1103,0.682,0.1085,0.0754,0.0037,0.3112244898,46867,20933,20933,NA,NA,NA,NA,NA,NA,0.032,0,82500,111027
Hilbert College,NY,2,Private nonprofit,0,0,0.9549,NA,515,NA,NA,491,NA,In-person,827,0.5707,0.1064,0.0435,0.0097,0.0073,0.3715498938,34125,29900,29900,0.5753,0.6168,0.3571,0.7,0,1,0.07,0,47700,48309
Hobart William Smith Colleges,NY,2,Private nonprofit,0,0,0.6838,610,635,700,600,635,700,In-person,1539,0.6634,0.0689,0.0929,0.0234,0.0013,0.164893617,78579,61725,61725,0.7367,0.7488,0.5333,0.6774,0.8824,1,0.017,0,62700,68831
Hofstra University,NY,2,Private nonprofit,0,0,0.6933,600,635,680,590,640,690,In-person,6051,0.5057,0.0901,0.1621,0.1395,0.0023,0.2560331825,65796,53330,53330,0.6777,0.7121,0.5956,0.5789,0.6935,0.5,0.045,0,59900,69039
Houghton University,NY,2,Private nonprofit,0,0,0.77,570,600,670,540,585,650,In-person,745,0.7356,0.0711,0.0134,0.0201,0.004,0.2509157509,27969,16446,16446,0.6029,0.672,0.3077,0.5,0.375,0,0.016,0,42400,46721
Iona University,NY,2,Private nonprofit,0,0,0.964,520,580,610,510,580,600,In-person,2633,0.4979,0.0976,0.2829,0.0228,0.0015,0.2882273342,57113,44328,44328,0.5658,0.6562,0.4697,0.4667,0.5,1,0.037,0,60900,73595
Ithaca College,NY,2,Private nonprofit,0,0,0.752,613,NA,700,590,NA,680,In-person,4601,0.7214,0.0528,0.1011,0.0367,9e-4,0.1771217712,65542,48276,48276,0.7432,0.7621,0.7065,0.625,0.7059,0.5,0.017,0,57600,63548
Jamestown Business College,NY,2,Private for-profit,0,0,0.8741,NA,NA,NA,NA,NA,NA,In-person,287,0.6551,0.0279,0.1289,0,0.0453,0.6844106464,18448,12945,12945,0.6075,0.625,NA,0.5417,NA,NA,0.089,0.048,28900,34976
Jewish Theological Seminary of America,NY,2,Private nonprofit,0,0,0.5076,733,707,768,733,711,770,In-person,149,0.8389,0,0.0537,0.0067,0,PS,86964,68365,68365,0.8095,0.7742,NA,1,0,NA,0.015,0,PS,92751
The Juilliard School,NY,2,Private nonprofit,0,0,0.1061,NA,NA,NA,NA,NA,NA,In-person,476,0.3319,0.0693,0.0882,0.1282,0,0.2680412371,79572,52500,52500,0.8929,0.8605,0.8,1,0.9286,NA,0.015,0,47300,37827
Kehilath Yakov Rabbinical Seminary,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,187,1,0,0,0,0,PS,15825,11800,11800,0.5,0.5,NA,NA,NA,NA,NA,NA,PS,36442
Keuka College,NY,2,Private nonprofit,0,0,0.9279,490,563,563,450,567,570,In-person,983,0.8016,0.0529,0.059,0.0081,0.0051,0.3718054411,52574,36191,36191,0.5207,0.5719,0.4,0.4615,NA,1,0.036,0,46700,58289
LIM College,NY,2,Private for-profit,0,0,0.8382,510,NA,630,460,NA,540,In-person,1075,0.3879,0.2242,0.2112,0.0726,0.0056,0.3259259259,50573,30610,30610,0.5176,0.4848,0.4474,0.8966,0.5556,1,0.089,0,48900,58956
Le Moyne College,NY,2,Private nonprofit,0,0,0.7828,560,605,640,570,610,650,In-person,2459,0.7255,0.0744,0.0882,0.0447,0.002,0.2230989957,50504,37450,37450,0.7245,0.7295,0.5278,0.6486,1,1,0.041,0,55600,62731
Long Island University,NY,2,Private nonprofit,0,0,0.9265,550,605,660,550,605,670,In-person,5751,0.3817,0.1595,0.1582,0.1248,0.0024,0.5211957853,53506,38868,38868,0.4764,0.6022,0.3361,0.3941,0.5225,0.6,0.08,0,58400,59950
Machzikei Hadath Rabbinical College,NY,2,Private nonprofit,0,0,0.95,NA,NA,NA,NA,NA,NA,In-person,142,0.9577,0,0,0,0,0.7704918033,22778,12300,12300,0.1481,0.1481,NA,NA,NA,NA,NA,NA,PS,41527
Manhattan College,NY,2,Private nonprofit,0,0,0.823,570,NA,660,570,NA,670,In-person,3066,0.4615,0.0643,0.2864,0.0457,0.0016,0.2647058824,61165,48658,48658,0.7199,0.751,0.6429,0.6627,0.75,NA,0.036,0,70800,86316
Manhattan School of Music,NY,2,Private nonprofit,0,0,0.5501,NA,NA,NA,NA,NA,NA,In-person,503,0.3499,0.0616,0.1093,0.0775,0.004,0.2153846154,72477,52550,52550,0.7919,0.8704,0.75,1,0.8,NA,0.026,0,40700,26878
Manhattanville College,NY,2,Private nonprofit,0,0,0.8412,NA,575,NA,NA,550,NA,In-person,1276,0.4851,0.098,0.3158,0.0212,8e-4,0.3083989501,52355,41210,41210,0.6074,0.6133,0.5854,0.5703,1,1,0.036,0,50700,58832
Maria College of Albany,NY,2,Private nonprofit,0,0,0.9691,NA,NA,NA,NA,NA,NA,In-person,758,0.434,0.1662,0.0778,0.0515,0.004,0.4648648649,26355,16510,16510,0.3571,0.4615,0.5,0,NA,NA,0.075,0,43400,55458
Marist College,NY,2,Private nonprofit,0,0,0.6285,610,647,698,590,632,680,In-person,5069,0.7333,0.0373,0.1341,0.0345,4e-4,0.1676767677,62169,44560,44560,0.8131,0.8324,0.7547,0.7795,0.7297,1,0.017,0,62600,77819
Marymount Manhattan College,NY,2,Private nonprofit,0,0,0.7209,570,590,660,510,562,620,In-person,1568,0.5172,0.1027,0.227,0.0287,6e-4,0.3176341731,61863,38718,38718,0.5664,0.5891,0.4483,0.575,0.6154,0.5714,0.081,0,45500,49131
Medaille University,NY,2,Private nonprofit,0,0,0.688,480,NA,570,450,NA,570,In-person,1185,0.6346,0.238,0.0498,0.0186,0.0245,0.4775022957,40348,34000,34000,0.3549,0.4924,0.1842,0.3,0.5556,0,0.055,0,44200,48867
Mercy College,NY,2,Private nonprofit,0,0,0.8586,510,520,630,510,530,600,In-person,5510,0.1648,0.2494,0.465,0.0483,0.0022,0.5264830508,30568,21358,21358,0.471,0.5309,0.4545,0.4701,0.4667,0.4,0.054,0,44600,52055
Mesivta Torah Vodaath Rabbinical Seminary,NY,2,Private nonprofit,0,0,0.925,NA,NA,NA,NA,NA,NA,In-person,344,1,0,0,0,0,PS,21060,14000,14000,0.2857,0.2857,NA,NA,NA,NA,0,NA,PS,NA
Mesivta of Eastern Parkway-Yeshiva Zichron Meilech,NY,2,Private nonprofit,0,0,0.5833,NA,NA,NA,NA,NA,NA,In-person,47,0.9362,0,0,0,0,PS,17850,9900,9900,0.75,0.75,NA,NA,NA,NA,0,NA,PS,NA
Mesivtha Tifereth Jerusalem of America,NY,2,Private nonprofit,0,0,0.619,NA,NA,NA,NA,NA,NA,In-person,52,1,0,0,0,0,PS,17250,12500,12500,0.1053,0.1053,NA,NA,NA,NA,NA,NA,PS,NA
Mirrer Yeshiva Cent Institute,NY,2,Private nonprofit,0,0,0.8,NA,NA,NA,NA,NA,NA,In-person,114,0.9386,0,0,0,0,0.5576923077,22585,12170,12170,0.4167,0.4118,NA,NA,NA,NA,0,NA,PS,41192
Molloy College,NY,2,Private nonprofit,0,0,0.7663,550,585,660,530,630,650,In-person,3207,0.508,0.1004,0.2466,0.0904,0.0028,0.296131896,47058,36030,36030,0.6922,0.7337,0.4423,0.6531,0.7647,0.3333,0.035,0,64100,77789
Monroe College,NY,2,Private for-profit,0,0,0.5984,NA,NA,NA,NA,NA,NA,In-person,5434,0.0335,0.4242,0.3927,0.0195,0.005,0.6506602641,24603,17442,17442,0.5617,0.5,0.5586,0.5875,0.8,0.3333,0.084,0.001,34700,41236
Mount Saint Mary College,NY,2,Private nonprofit,0,0,0.8829,535,540,630,540,545,595,In-person,1466,0.5246,0.088,0.2599,0.0273,7e-4,0.2784926471,48858,37940,37940,0.612,0.6388,0.3548,0.5846,0.8333,0,0.04,0,51700,67705
College of Mount Saint Vincent,NY,2,Private nonprofit,0,0,0.8889,465,560,608,478,555,608,In-person,2233,0.3954,0.1388,0.3309,0.0528,9e-4,0.4262485482,49939,40980,40980,0.5711,0.5773,0.4386,0.583,0.7419,0,0.07,0,61000,65756
Icahn School of Medicine at Mount Sinai,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,0,212300,NA
Nazareth College,NY,2,Private nonprofit,0,0,0.8394,570,NA,660,570,NA,660,In-person,1978,0.7917,0.0516,0.0693,0.0222,0.0035,0.2093220339,54255,39310,39310,0.6886,0.7206,0.5769,0.5526,0.7857,NA,0.022,0,45800,56458
The New School,NY,2,Private nonprofit,0,0,0.5718,NA,NA,NA,NA,NA,NA,In-person,7136,0.3339,0.0376,0.1037,0.1121,8e-4,0.3843175218,75533,54347,54347,0.6921,0.6312,0.5263,0.6029,0.7564,1,0.047,0,55200,52901
Northeast College of Health Sciences,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,59400,NA
New York Law School,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,121400,NA
New York Medical College,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,PS,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.012,0,229700,NA
New York Theological Seminary,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.117,0,NA,NA
New York University,NY,2,Private nonprofit,0,0,0.1246,720,735,770,750,775,800,In-person,29136,0.2183,0.0783,0.1657,0.2017,0.0016,0.3222778473,76563,58168,58168,0.8712,0.8512,0.8563,0.8609,0.8941,0.875,0.021,0,78600,82509
Niagara University,NY,2,Private nonprofit,0,0,0.8955,510,570,620,520,577,620,In-person,2668,0.6289,0.0622,0.0446,0.0169,0.0034,0.2397003745,48664,37180,37180,0.7221,0.76,0.5128,0.5484,0.6,0.6667,0.046,0,45300,56196
New York College of Podiatric Medicine,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,115100,NA
New York Institute of Technology,NY,2,Private nonprofit,0,0,0.7572,558,590,660,560,620,700,In-person,3279,0.2147,0.1177,0.2229,0.2769,0.003,0.3978007762,51737,42000,42000,0.5463,0.5837,0.4638,0.4371,0.6281,1,0.057,0,68100,70080
New York School of Interior Design,NY,2,Private nonprofit,0,0,0.6509,NA,NA,NA,NA,NA,NA,In-person,451,0.5809,0.0488,0.1397,0.0466,0.0022,0.4714285714,46360,28580,28580,0.9,1,1,1,1,NA,0.023,0,53300,48041
Alliance University,NY,2,Private nonprofit,0,0,1,NA,490,NA,NA,481,NA,In-person,761,0.0788,0.3338,0.3311,0.0434,0.0053,0.5263157895,42665,27500,27500,0.399,0.5333,0.3542,0.2344,0.25,0.25,0.078,0,46700,44394
Ohr Hameir Theological Seminary,NY,2,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,101,0.9505,0,0,0,0,0.4651162791,NA,12750,12750,0.3333,0.5,NA,NA,NA,NA,0,NA,PS,NA
Pace University,NY,2,Private nonprofit,0,0,0.8293,580,615,670,540,600,630,In-person,7766,0.4768,0.0994,0.2144,0.0774,0.0012,0.3085077467,66074,50026,50026,0.6141,0.6298,0.5556,0.5905,0.6093,1,0.053,0,66800,70378
Paul Smiths College of Arts and Science,NY,2,Private nonprofit,0,0,0.8492,NA,NA,NA,NA,NA,NA,In-person,668,0.8144,0.0464,0.006,0.009,0.021,0.2760511883,49639,32048,32048,0.5435,0.559,0.3889,0.6667,0,NA,0.083,0,38400,46145
Plaza College,NY,2,Private for-profit,0,0,0.3001,NA,NA,NA,NA,NA,NA,In-person,790,0.1,0.3316,0.3203,0.1177,0,0.7707317073,24007,14425,14425,0.6936,0.7097,0.6933,0.7067,0.7143,NA,0.003,0,28100,31519
Davis College,NY,2,Private nonprofit,0,0,0.5,NA,NA,NA,NA,NA,NA,In-person,103,0.6699,0.0971,0.0777,0.0097,0.0097,0.4915254237,22030,17200,17200,0.4286,0.5,0.4286,0,NA,NA,0.073,0,33400,38450
Pratt Institute-Main,NY,2,Private nonprofit,0,0,0.5045,590,655,710,570,645,720,In-person,3887,0.3267,0.0422,0.1065,0.161,0.001,0.2669811321,72225,57599,57599,0.7604,0.7493,0.4146,0.6941,0.7677,NA,0.052,0,48900,54295
Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,2,Private nonprofit,0,0,0.9556,NA,NA,NA,NA,NA,NA,In-person,135,1,0,0,0,0,0.5185185185,19450,10800,10800,0.2368,0.2368,NA,NA,NA,NA,0,NA,PS,NA
Rabbinical College Bobover Yeshiva Bnei Zion,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,431,1,0,0,0,0,0.6666666667,17889,9500,9500,0.8776,0.8776,NA,NA,NA,NA,0,NA,32700,20707
Rabbinical Seminary Mkor Chaim,NJ,2,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,62,1,0,0,0,0,NA,14250,8450,8450,0,0,NA,NA,NA,NA,0,NA,NA,NA
Rabbinical College of Long Island,NY,2,Private nonprofit,0,0,1,NA,NA,NA,NA,NA,NA,In-person,148,0.9865,0,0,0,0,PS,18150,9400,9400,0.1951,0.1951,NA,NA,NA,NA,0,NA,PS,NA
Rabbinical Seminary of America,NY,2,Private nonprofit,0,0,0.9895,NA,NA,NA,NA,NA,NA,In-person,346,1,0,0,0,0,0.2894736842,19200,10000,10000,0.3636,0.3636,NA,NA,NA,NA,0,NA,PS,NA
Rensselaer Polytechnic Institute,NY,2,Private nonprofit,0,0,0.6451,660,700,740,700,740,780,In-person,5886,0.4266,0.0486,0.107,0.1945,7e-4,0.1692307692,77763,60074,60074,0.838,0.8442,0.6471,0.7882,0.8407,0.5,0.014,0,86000,102051
Roberts Wesleyan University,NY,2,Private nonprofit,0,0,0.995,580,560,650,570,575,690,In-person,1033,0.666,0.1384,0.09,0.0184,0.0058,0.2694117647,47996,36124,36124,0.6814,0.6901,0.5714,0.5833,0.75,NA,0.037,0,45700,55031
Rochester Institute of Technology,NY,2,Private nonprofit,0,0,0.6717,630,670,710,640,690,740,In-person,13152,0.6199,0.0518,0.0915,0.1169,0.0014,0.2465135357,68666,54518,54518,0.7227,0.7375,0.6346,0.6442,0.7598,0.4286,0.032,0,67800,76571
University of Rochester,NY,2,Private nonprofit,0,0,0.3891,680,700,750,710,745,790,In-person,6569,0.4019,0.046,0.0787,0.1621,9e-4,0.2852992446,79490,61678,61678,0.8973,0.8922,0.8269,0.8721,0.8994,1,0.022,0,74300,79042
The Rockefeller University,NY,2,Private nonprofit,0,0,NA,NA,NA,NA,NA,NA,NA,In-person,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
