name,team,nationality_1,jersey_number,position_1,position_2,archetype,height_ft,weight_lb,wingspan_ft,season_salary,years_in_the_nba,birthdate,rating_overall,rating_close_shot,rating_mid_range_shot,rating_three_point_shot,rating_free_throw,rating_shot_iq,rating_speed,rating_agility,rating_strength,rating_stamina,rating_overall_durability,rating_pass_accuracy,rating_ball_handle,rating_pass_iq,rating_group_defense,rating_interior_defense,rating_perimeter_defense,rating_steal,rating_block,rating_offensive_rebound,rating_defensive_rebound,pos,age,gp,w,l,min,pts,fgm,fga,fg_percent,x3pm,x3pa,x3p_percent,ftm,fta,ft_percent,oreb,dreb,reb,ast,tov,stl,blk,pf,fp,dd2,td3,x
Domantas Sabonis,Sacramento Kings,Lithuania,11,C,NA,3-Level Scoring Playmaker,"6'10""",240,"6'11""",40500000,9,1996-05-03,88,97,81,81,73,85,48,49,82,95,86,82,60,85,55,70,49,40,55,84,94,PF,26,79,47,32,2735.6,1510,577,938,61.5,31,83,37.3,325,438,74.2,251,722,973,573,230,65,39,279,3619,65,14,212
Dominick Barlow,Atlanta Hawks,United States,26,C,PF,Rebounder,"6'9""",215,"7'1""",NA,3,2003-05-26,70,84,73,72,72,55,68,68,62,80,80,51,69,52,50,50,47,42,67,77,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donovan Clingan,Portland Trail Blazers,United States,23,C,NA,Paint Protector,"7'3""",265,"7'7""",6836400,1,2004-02-23,73,72,59,42,57,60,44,45,72,82,80,55,46,62,67,77,49,50,83,68,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Donovan Mitchell,Cleveland Cavaliers,United States,45,SG,PG,Offensive Architect,"6'3""",215,"6'10""",35410310,8,1996-09-07,92,88,94,85,88,80,95,90,60,96,80,84,90,92,73,68,75,80,53,38,59,SG,26,68,44,24,2432.4,1922,679,1402,48.4,245,635,38.6,319,368,86.7,63,226,289,301,180,99,27,168,2918,5,0,338
Donte DiVincenzo,Minnesota Timberwolves,United States,0,SG,SF,3 & D Two Guard,"6'4""",203,"6'6""",11445000,7,1997-01-31,80,88,81,84,72,80,87,87,60,90,81,77,79,74,74,58,82,70,53,40,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dorian Finney-Smith,Brooklyn Nets,United States,28,PF,C,2-Way Inside-Out Threat,"6'7""",220,"7'0""",14924167,9,1993-05-04,76,70,71,79,76,90,67,82,62,80,81,65,60,68,68,72,83,42,57,55,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Draymond Green,Golden State Warriors,United States,23,PF,C,2-Way Stretch Point Four,"6'6""",230,"7'1""",24107143,13,1990-03-04,83,94,61,80,83,55,73,82,85,85,88,83,78,92,81,88,86,53,68,52,83,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew Eubanks,Utah Jazz,United States,15,C,NA,Interior Threat,"6'10""",245,"7'0""",NA,7,1997-02-01,74,92,73,54,86,88,61,62,68,80,83,42,37,55,54,60,47,38,82,72,76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Drew  Peterson,Boston Celtics,United States,13,SF,PF,Catch & Shoot Threat,"6'9""",205,"7'1""",NA,2,1999-11-09,70,70,74,79,75,50,59,58,62,85,80,69,68,68,45,52,43,40,42,58,59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dru Smith,Miami Heat,United States,12,PG,SG,Ball Hawk,"6'2""",200,"6'6""",NA,4,1997-12-30,71,57,74,76,84,75,70,70,43,85,80,74,76,74,62,40,63,88,62,51,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duane Washington Jr.,Charlotte Hornets,Germany,4,PG,SG,Perimeter Threat,"6'2""",197,"6'8""",NA,4,2000-03-24,71,82,80,80,67,84,79,79,42,80,80,66,74,68,50,47,62,33,47,27,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duncan Robinson,Miami Heat,United States,55,SG,SF,Catch & Shoot Ace,"6'7""",215,"7'1""",19406000,7,1994-04-22,77,89,81,86,80,85,59,65,35,85,83,66,72,70,45,50,52,40,45,29,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Duop Reath,Portland Trail Blazers,Australia,26,C,NA,Stretch Five,"6'9""",245,"7'1""",2048780,7,1996-06-26,74,85,68,80,80,95,59,52,73,83,80,40,52,44,53,62,37,41,67,65,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dwight Powell,Dallas Mavericks,Canada,7,C,NA,Inside-Out Scoring Threat,"6'10""",240,"7'1""",4000000,11,1991-07-20,73,92,65,78,81,30,71,58,80,90,83,55,60,64,61,74,45,43,61,83,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dyson Daniels,Atlanta Hawks,Australia,5,PG,SG,2-Way Rim Attacker,"6'7""",199,"6'11""",6059520,3,2003-03-17,74,94,72,73,67,60,79,84,52,89,80,82,86,82,74,57,79,96,57,50,61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Emoni Bates,Cleveland Cavaliers,United States,21,SF,SG,Perimeter Shot Creator,"6'8""",170,"6'9""",NA,2,2004-01-28,68,77,80,77,78,50,69,69,42,85,80,55,77,52,41,43,53,40,30,46,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Enrique Freeman,Indiana Pacers,United States,8,PF,C,Interior Threat,"6'7""",214,"6'11""",NA,1,2000-07-29,68,74,66,66,67,35,74,74,60,88,80,59,62,60,60,66,66,44,65,67,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Eric Gordon,Philadelphia 76ers,Bahamas,23,SG,SF,Perimeter Shot Creator,"6'3""",215,"6'9""",3303771,17,1988-12-25,76,81,82,83,79,60,79,79,60,92,78,69,79,73,58,42,73,49,53,30,40,SG,34,69,25,44,1965.5,856,291,653,44.6,132,356,37.1,142,173,82.1,16,118,134,183,104,43,25,78,1391,0,0,-210
Evan Mobley,Cleveland Cavaliers,United States,4,PF,C,Switchable Lockdown Defender,"6'11""",215,"7'4""",11227657,4,2001-06-18,86,85,69,74,72,70,72,79,74,97,80,69,60,84,82,92,82,43,81,65,87,PF,21,79,48,31,2715.3,1277,525,947,55.4,22,102,21.6,205,304,67.4,187,524,711,224,146,60,119,218,2857,24,0,339
Franz Wagner,Orlando Magic,Germany,22,SF,SG,Rim Attacker,"6'10""",220,"7'0""",7007092,4,2001-08-27,86,94,70,74,87,75,70,73,65,85,80,80,85,84,63,56,73,46,51,42,65,SF,21,80,33,47,2608.7,1485,542,1118,48.5,130,360,36.1,271,322,84.2,70,259,329,283,167,77,17,183,2419,2,0,50
Fred VanVleet,Houston Rockets,United States,5,PG,NA,2-Way Playmaking Sharpshooter,"6'0""",197,"6'2""",42846615,9,1994-02-25,84,81,92,82,86,75,83,83,42,95,82,89,86,92,65,27,83,53,60,31,49,SG,29,69,34,35,2535,1335,437,1112,39.3,207,606,34.2,254,283,89.8,30,250,280,495,140,123,38,193,2757,10,1,195
Gabe Vincent,Los Angeles Lakers,Nigeria,7,PG,SG,Perimeter Threat,"6'2""",200,"6'7""",11000000,7,1996-06-14,74,91,93,75,87,70,73,73,40,85,82,78,80,79,49,37,60,59,25,35,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garrett Temple,Toronto Raptors,United States,17,SG,SF,Perimeter Defender,"6'5""",195,"6'9""",2087519,16,1986-05-08,70,82,55,72,79,70,57,76,44,85,82,75,75,74,64,46,78,59,47,58,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garrison Mathews,Atlanta Hawks,United States,25,SF,SG,Perimeter Shot Creator,"6'6""",215,"6'9""",2230253,6,1996-10-24,72,74,81,88,91,60,50,60,44,89,79,71,76,82,48,42,59,37,42,34,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Harris,Orlando Magic,United States,14,SG,SF,2-Way 3-Level Shot Creator,"6'4""",210,"6'7""",7500000,11,1994-09-14,75,93,79,81,79,60,75,80,53,85,83,75,76,75,67,68,82,56,50,36,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Payton II,Golden State Warriors,United States,0,SF,SG,Versatile Stopper,"6'2""",195,"6'8""",9130000,9,1992-12-01,75,94,65,79,66,25,81,83,48,85,83,75,78,72,82,79,83,86,63,62,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gary Trent Jr.,Milwaukee Bucks,United States,5,SG,SF,Shot-Creating 3-Level Threat,"6'5""",209,"6'9""",NA,7,1999-01-18,78,83,76,83,59,70,85,85,58,80,82,70,79,71,52,50,61,56,35,32,47,SG,24,66,31,35,2118,1148,405,935,43.3,166,450,36.9,172,205,83.9,30,143,173,106,55,104,14,102,1814,0,0,-52
Georges Niang,Cleveland Cavaliers,United States,20,PF,NA,Stretch Four,"6'7""",230,"6'10""",8500000,9,1993-06-17,73,90,84,81,88,60,44,55,60,88,84,65,67,70,51,60,55,35,47,32,65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Giannis Antetokounmpo,Milwaukee Bucks,Greece,34,PF,C,2-Way Slashing Point Four,"6'11""",243,"7'4""",48787676,12,1994-12-06,97,96,72,68,67,85,89,86,94,98,91,84,87,95,87,90,87,76,80,66,88,PF,28,63,47,16,2023.6,1959,707,1278,55.3,47,171,27.5,498,772,64.5,137,605,742,359,246,52,51,197,3451,46,6,341
Goga Bitadze,Orlando Magic,Georgia,35,C,NA,Board-Hunting Lob Threat,"6'11""",250,"7'2""",9057971,6,1999-07-20,73,84,62,65,71,65,53,54,84,80,80,54,60,69,57,64,25,43,92,86,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gradey Dick,Toronto Raptors,United States,1,SG,SF,Inside-Out Shot Creator,"6'6""",205,"6'9""",4763760,2,2003-11-20,76,84,73,82,85,70,73,74,54,89,80,70,77,68,55,55,73,41,27,36,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grant Williams,Charlotte Hornets,United States,2,PF,C,Stretch Four,"6'6""",236,"6'10""",13025250,6,1998-11-30,76,81,73,81,77,70,58,70,73,88,80,69,66,72,60,68,68,37,56,47,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Grayson Allen,Phoenix Suns,United States,8,SF,SG,Inside-Out Shot Creator,"6'4""",198,"6'7""",15625000,7,1995-10-08,78,87,70,93,91,60,84,78,44,85,82,70,78,78,56,35,72,41,56,36,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
G.G. Jackson,Memphis Grizzlies,United States,45,SF,SF,Inside-Out Scoring Threat,"6'9""",210,"7'0""",1891857,2,2004-12-17,78,70,70,80,70,65,82,79,62,88,80,59,62,50,56,58,58,38,57,47,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Guerschon Yabusele,Philadelphia 76ers,France,28,PF,C,3-Level Scoring Threat,"6'8""",260,"7'0""",NA,9,1995-12-17,74,80,75,80,79,75,62,60,74,80,84,57,62,52,50,62,66,46,44,52,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gui Santos,Golden State Warriors,Brazil,15,PF,SF,Stretch Four,"6'7""",185,"6'11""",1891857,3,2002-06-22,71,73,69,79,65,70,73,72,50,80,86,57,62,55,60,66,69,58,52,53,58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harrison Barnes,San Antonio Spurs,United States,40,SF,PF,Shot-Creating 3-Level Threat,"6'8""",225,"6'11""",18000000,13,1992-05-30,77,96,87,82,83,50,77,75,70,92,82,72,78,75,58,67,75,38,37,40,47,SF,30,82,48,34,2662,1230,374,791,47.3,132,353,37.4,350,413,84.7,87,279,366,128,86,57,10,103,1976,0,0,255
Harrison Ingram,San Antonio Spurs,United States,55,PF,SF,Promising Prospect,"6'7""",230,"6'11""",NA,1,2002-11-27,69,73,73,74,62,50,82,75,73,88,80,62,70,62,56,60,62,49,39,59,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Harry Giles III,Charlotte Hornets,United States,20,C,PF,Mid-Range Scoring Threat,"6'10""",240,"7'3""",NA,8,1998-04-22,69,75,79,61,77,40,68,67,65,75,79,65,40,74,53,65,40,38,70,68,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Haywood Highsmith,Miami Heat,United States,24,PF,SF,Stretch Four,"6'5""",220,"7'0""",5200000,7,1996-12-09,74,92,70,83,81,80,70,81,50,80,86,55,70,55,69,60,79,56,61,51,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Herbert Jones,New Orleans Pelicans,United States,2,SG,SF,3 & D Two Guard,"6'7""",206,"7'0""",12976362,4,1998-10-06,82,76,78,85,86,75,74,93,59,82,80,69,75,75,81,62,94,80,66,42,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hunter Tyson,Denver Nuggets,United States,5,PF,SF,Stretch Four,"6'8""",215,"6'10""",1891857,2,2000-06-13,70,72,76,75,80,70,68,68,52,88,80,65,68,65,55,58,62,57,55,55,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Immanuel Quickley,Toronto Raptors,United States,5,PG,SG,2-Way Inside-Out Playmaker,"6'2""",190,"6'8""",32500000,5,1999-06-17,81,85,71,83,89,75,82,82,54,89,79,84,86,84,59,37,80,40,37,29,60,SG,23,81,47,34,2344.1,1209,419,936,44.8,168,454,37,203,248,81.9,58,279,337,279,100,80,14,166,2214,4,0,318
Isaac Okoro,Cleveland Cavaliers,United States,35,SF,SG,Versatile Stopper,"6'5""",225,"6'9""",NA,5,2001-01-26,76,80,60,81,69,70,77,85,67,89,82,69,72,69,71,68,84,43,56,45,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Collier,Utah Jazz,United States,13,PG,SG,Tempo-Pushing Point,"6'4""",193,"6'8""",2512680,1,2004-10-08,70,73,65,72,67,50,95,88,60,89,80,65,86,65,53,30,62,65,47,32,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Hartenstein,Oklahoma City Thunder,Germany,55,C,NA,Board-Hunting Lob Threat,"7'0""",250,"7'2""",30000000,8,1998-05-05,81,95,70,55,67,75,62,62,84,80,77,50,56,60,60,43,41,70,81,90,82,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Jackson,Indiana Pacers,United States,22,C,PF,Board-Hunting Lob Threat,"6'9""",205,"7'3""",4435381,4,2002-01-10,76,82,69,59,71,55,73,73,65,82,80,40,59,44,64,70,54,63,89,89,79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Joe,Oklahoma City Thunder,United States,11,SG,PG,Shot-Creating 3-Level Threat,"6'3""",165,"6'8""",12991650,5,1999-07-02,78,81,94,85,84,80,72,77,47,80,87,67,74,69,54,42,69,43,53,37,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Mobley,Philadelphia 76ers,United States,15,C,PF,Rebounder,"6'8""",238,"7'3""",NA,3,1999-09-24,69,68,70,70,68,65,58,58,62,87,80,68,49,75,51,61,44,41,69,60,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Isaiah Stewart,Detroit Pistons,United States,28,PF,C,3-Level Scoring Threat,"6'8""",250,"7'4""",15000000,5,2001-05-22,76,93,76,82,79,75,63,62,86,89,77,44,34,50,55,70,54,32,62,53,71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ivica Zubac,Los Angeles Clippers,Croatia,40,C,NA,Paint Beast,"7'0""",240,"7'4""",11743210,9,1997-03-18,82,98,74,26,70,80,26,45,80,80,80,70,35,47,55,77,34,32,81,84,87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ja Morant,Memphis Grizzlies,United States,12,PG,NA,3-Level Playmaking Slasher,"6'2""",174,"6'7""",36725670,6,1999-08-10,90,89,90,75,76,70,95,95,52,97,80,96,96,95,67,49,72,60,55,41,66,PG,23,61,40,21,1948.3,1596,566,1214,46.6,92,300,30.7,372,497,74.8,61,296,357,493,206,66,16,100,2804,20,7,302
Jabari Smith Jr.,Houston Rockets,United States,10,PF,C,Shot-Creating 3-Level Threat,"6'11""",220,"7'1""",9770880,3,2003-05-13,80,92,80,80,74,70,76,76,60,89,80,65,75,66,61,70,69,37,62,70,79,PF,19,79,21,58,2450.5,1010,364,892,40.8,120,391,30.7,162,206,78.6,122,447,569,101,104,43,74,227,2091,16,0,-555
Jabari Walker,Portland Trail Blazers,United States,34,PF,SF,Board Hunter,"6'7""",200,"6'11""",2019699,3,2002-07-30,74,72,70,71,77,65,75,75,46,80,80,52,60,54,60,68,68,40,51,68,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jacob Toppin,New York Knicks,United States,00,PF,SF,Interior Threat,"6'8""",200,"6'11""",NA,2,2000-05-08,67,70,69,69,67,50,68,68,62,85,80,50,68,50,58,67,65,38,51,47,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaden Hardy,Dallas Mavericks,United States,1,PG,SG,Balanced Offensive Point,"6'3""",198,"6'9""",2019699,3,2002-07-05,73,71,82,80,67,60,83,83,39,84,80,75,83,75,45,34,55,38,35,36,55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaden Ivey,Detroit Pistons,United States,23,SG,PG,Shot-Creating 3-Level Threat,"6'4""",195,"6'10""",7977240,3,2002-02-13,78,79,83,77,79,60,91,91,54,92,80,84,86,84,61,59,71,40,56,46,47,PG,21,74,16,58,2304.3,1204,409,983,41.6,120,350,34.3,266,356,74.7,73,215,288,387,237,61,17,242,2127,8,0,-642
Jaden McDaniels,Minnesota Timberwolves,United States,3,SF,PF,Switchable Lockdown Defender,"6'9""",185,"7'0""",23017242,5,2000-09-29,80,95,72,78,74,50,79,93,60,85,90,44,78,40,83,83,92,80,57,41,46,PF,22,79,41,38,2416.5,953,370,716,51.7,107,269,39.8,106,144,73.6,92,215,307,148,112,74,76,272,1881,0,0,70
Jaden Springer,Boston Celtics,United States,44,SG,SF,Ball Hawk,"6'4""",202,"6'8""",4018363,4,2002-09-25,71,67,73,53,81,50,82,82,49,85,80,75,81,75,70,44,75,90,67,60,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jae'Sean Tate,Houston Rockets,United States,8,SF,PF,Versatile Defender,"6'4""",230,"6'8""",7065217,7,1995-10-28,73,94,70,72,73,50,69,70,65,89,80,70,74,72,65,70,70,59,52,56,62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jaime Jaquez Jr.,Miami Heat,United States,11,SF,PF,Shot-Creating 3-Level Threat,"6'6""",230,"6'10""",3685800,2,2001-02-18,79,93,84,76,86,80,67,75,68,88,80,70,73,74,66,68,72,53,47,47,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jake LaRavia,Memphis Grizzlies,United States,3,PF,SF,Stretch Four,"6'7""",235,"6'10""",3352680,3,2001-11-03,74,70,76,77,78,85,59,69,62,88,80,69,68,68,55,69,43,53,53,58,52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jakob Poeltl,Toronto Raptors,Austria,19,C,NA,Defensive Anchor,"7'0""",245,"7'3""",19500000,9,1995-10-15,80,96,59,45,51,70,51,37,80,80,80,69,38,62,68,81,45,40,85,75,85,C,27,72,26,46,1906.1,897,389,618,62.9,0,1,0,119,201,59.2,236,417,653,197,125,66,86,195,2307,19,0,-146
Ja'Kobe Walter,Toronto Raptors,United States,14,SF,SG,3 & D Threat,"6'5""",180,"6'9""",3465000,1,2004-09-04,70,72,74,76,79,50,90,82,57,88,80,69,70,69,54,47,66,57,47,47,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Brunson,New York Knicks,United States,11,PG,NA,Offensive Architect,"6'2""",190,"6'4""",24960001,7,1996-08-31,93,98,93,86,87,90,84,84,60,98,81,96,95,98,60,55,73,41,35,34,49,PG,26,68,40,28,2378.7,1633,587,1195,49.1,134,322,41.6,325,392,82.9,40,201,241,421,142,61,15,152,2640,5,0,152
Jalen Duren,Detroit Pistons,United States,0,C,NA,Board-Hunting Lob Threat,"6'10""",250,"7'5""",4536840,3,2003-11-18,81,97,55,35,57,75,73,73,81,89,80,59,59,50,61,72,62,36,62,79,95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Green,Houston Rockets,United States,4,SG,PG,3-Level Slasher,"6'4""",186,"6'8""",12483048,4,2002-02-09,84,79,83,80,80,70,88,88,55,88,80,77,86,79,58,45,73,40,50,33,65,SG,21,76,20,56,2602.2,1683,566,1359,41.6,187,554,33.8,364,463,78.6,43,241,284,281,200,59,18,131,2476,0,0,-447
Jalen Hood-Schifino,Los Angeles Lakers,United States,0,PG,SG,Steady Playmaker,"6'5""",215,"6'10""",3879840,2,2003-06-19,72,73,79,65,77,70,79,79,48,85,80,78,82,77,55,52,74,40,45,31,49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Johnson,Atlanta Hawks,United States,1,PF,SF,3-Level Scoring Threat,"6'8""",219,"7'0""",4510905,4,2001-12-18,80,92,76,79,76,75,76,76,68,85,80,68,58,69,59,66,66,49,62,45,86,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen McDaniels,Sacramento Kings,United States,7,PF,SF,Mid-Range Scoring Threat,"6'9""",205,"7'0""",4741800,6,1998-01-31,72,87,80,60,84,70,73,73,60,80,80,55,69,59,50,59,55,49,50,42,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Jalen Pickett,Denver Nuggets,United States,24,PG,SG,Steady Playmaker,"6'2""",202,"6'7""",1891857,2,1999-10-22,70,76,68,76,76,75,72,72,59,88,79,72,75,74,54,47,62,47,48,52,60,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
